Time (s),Channel 1 (V),Channel 2 (V)
-2.559943181818182,-2.453054807993999,-0.1186817838163583
-2.559318181818182,-2.453054807993999,-0.1234534782725
-2.558693181818182,-2.452720108064101,-0.127202666773758
-2.558068181818182,-2.453054807993999,-0.1299293493201259
-2.557443181818182,-2.453054807993999,-0.1316335259116058
-2.556818181818182,-2.452720108064101,-0.1319743612299016
-2.556193181818182,-2.452720108064101,-0.1316335259116058
-2.555568181818182,-2.452720108064101,-0.1306110199567179
-2.554943181818182,-2.452720108064101,-0.1278843374103512
-2.554318181818182,-2.452720108064101,-0.1244759842273879
-2.553693181818182,-2.453054807993999,-0.1197042897712463
-2.553068181818182,-2.452720108064101,-0.1139100893602145
-2.552443181818182,-2.452720108064101,-0.1067525476760021
-2.551818181818182,-2.452720108064101,-0.100958347264967
-2.551193181818182,-2.452720108064101,-0.09584581749052724
-2.550568181818182,-2.452385408134202,-0.09209662898927139
-2.549943181818182,-2.452385408134202,-0.09005161707949499
-2.549318181818182,-2.452385408134202,-0.08902911112460751
-2.548693181818182,-2.452385408134202,-0.0893699464429035
-2.548068181818182,-2.452385408134202,-0.09107412303438266
-2.547443181818182,-2.452385408134202,-0.09380080558075132
-2.546818181818182,-2.452385408134202,-0.09789082940030315
-2.546193181818182,-2.452385408134202,-0.1033441944930389
-2.545568181818182,-2.452385408134202,-0.1098200655406659
-2.544943181818182,-2.453054807993999,-0.1169776072248784
-2.544318181818182,-2.454393607713592,-0.1237943135907981
-2.543693181818182,-2.454393607713592,-0.1295885140018273
-2.543068181818182,-2.454393607713592,-0.1343602084579737
-2.542443181818182,-2.454393607713592,-0.1364052203677496
-2.541818181818182,-2.454393607713592,-0.1357235497311576
-2.541193181818182,-2.454393607713592,-0.1326560318664916
-2.540568181818182,-2.454728307643491,-0.1278843374103499
-2.539943181818182,-2.454728307643491,-0.1217493016810222
-2.539318181818182,-2.454728307643491,-0.1152734306334014
-2.538693181818182,-2.454728307643491,-0.1084567242674761
-2.538068181818182,-2.454393607713592,-0.102662523856447
-2.537443181818182,-2.454393607713592,-0.09652748812711921
-2.536818181818182,-2.454393607713592,-0.09175579367097757
-2.536193181818182,-2.454393607713592,-0.08698409921483159
-2.535568181818182,-2.454393607713592,-0.08221240475868778
-2.534943181818182,-2.454728307643491,-0.07778154562083996
-2.534318181818182,-2.454728307643491,-0.0736915218012861
-2.533693181818182,-2.454393607713592,-0.0692606626634403
-2.533068181818182,-2.454393607713592,-0.06585230948048043
-2.532443181818182,-2.454393607713592,-0.06312562693411378
-2.531818181818182,-2.454728307643491,-0.06210312097922458
-2.531193181818182,-2.454728307643491,-0.06278479161581656
-2.530568181818182,-2.454393607713592,-0.06517063884388846
-2.529943181818182,-2.454393607713592,-0.06891982734514709
-2.529318181818182,-2.454393607713592,-0.07505486307447207
-2.528693181818182,-2.454393607713592,-0.08221240475868778
-2.528068181818182,-2.454058907783694,-0.09107412303437941
-2.527443181818182,-2.454058907783694,-0.1002766766283751
-2.526818181818182,-2.454058907783694,-0.1081158889491828
-2.526193181818182,-2.454393607713592,-0.1156142659516945
-2.525568181818182,-2.454393607713592,-0.120385960407839
-2.524943181818182,-2.454393607713592,-0.1220901369993182
-2.524318181818182,-2.454393607713592,-0.1207267957261342
-2.523693181818182,-2.454728307643491,-0.1162959365882884
-2.523068181818182,-2.454393607713592,-0.1098200655406599
-2.522443181818182,-2.454058907783694,-0.1036850298113349
-2.521818181818182,-2.454393607713592,-0.09720915876371118
-2.521193181818182,-2.454058907783694,-0.08936994644290706
-2.520568181818182,-2.454393607713592,-0.08084906348550383
-2.519943181818182,-2.454393607713592,-0.07130567457321621
-2.519318181818182,-2.454393607713592,-0.06039894438774465
-2.518693181818182,-2.454393607713592,-0.04881054356567491
-2.518068181818182,-2.454058907783694,-0.03517713083384166
-2.517443181818182,-2.454058907783694,-0.02086204746541023
-2.516818181818182,-2.454058907783694,-0.007910305370168633
-2.516193181818182,-2.453724207853796,0.002996424815308821
-2.515568181818182,-2.453724207853796,0.01015396649952454
-2.514943181818182,-2.453724207853796,0.01322148436418841
-2.514318181818182,-2.453724207853796,0.01288064904589119
-2.513693181818182,-2.453724207853796,0.01015396649952454
-2.513068181818182,-2.453724207853796,0.006404777998268686
-2.512443181818182,-2.453724207853796,0.0009514129055353832
-2.511818181818182,-2.453724207853796,-0.006546964096978798
-2.511193181818182,-2.454058907783694,-0.01677202364585839
-2.510568181818182,-2.454058907783694,-0.03074627169599383
-2.509943181818182,-2.454393607713592,-0.0477880376108009
-2.509318181818182,-2.454393607713592,-0.06482980352559248
-2.508693181818182,-2.454058907783694,-0.08118989880379981
-2.508068181818182,-2.454058907783694,-0.09652748812711223
-2.507443181818182,-2.454058907783694,-0.1094792302223713
-2.506818181818182,-2.454393607713592,-0.1197042897712463
-2.506193181818182,-2.454393607713592,-0.126520996137166
-2.505568181818182,-2.454058907783694,-0.130611019956716
-2.504943181818182,-2.454058907783694,-0.1312926905933098
