Time (s),Channel 1 (V),Channel 2 (V)
-1,-0.5251553341779674,-2.480918590165212
-0.99975,-0.527178453920505,-2.481255563322245
-0.9995000000000001,-0.5288643870392863,-2.481255563322245
-0.99925,-0.5298759469105551,-2.481255563322245
-0.999,-0.5298759469105551,-2.480581617008179
-0.99875,-0.5312246934055801,-2.480581617008179
-0.9985000000000001,-0.533584999771874,-2.480918590165212
-0.99825,-0.5359453061381678,-2.481592536479279
-0.998,-0.5376312392569491,-2.481592536479279
-0.99775,-0.5389799857519741,-2.481592536479279
-0.9975000000000001,-0.5403287322469992,-2.481929509636312
-0.99725,-0.5416774787420242,-2.481592536479279
-0.997,-0.5430262252370492,-2.481592536479279
-0.99675,-0.5437005984845618,-2.481592536479279
-0.9965000000000001,-0.5450493449795868,-2.481255563322245
-0.99625,-0.5463980914746118,-2.481255563322245
-0.996,-0.5477468379696369,-2.481255563322245
-0.99575,-0.549095584464662,-2.481255563322245
-0.9955000000000001,-0.5501071443359308,-2.481255563322245
-0.99525,-0.5514558908309558,-2.481255563322245
-0.995,-0.5531418239497371,-2.481255563322245
-0.99475,-0.5538161971972496,-2.480918590165212
-0.9945000000000001,-0.5551649436922746,-2.480918590165212
-0.99425,-0.5568508768110559,-2.480918590165212
-0.994,-0.5585368099298372,-2.481255563322245
-0.99375,-0.5598855564248623,-2.481255563322245
-0.9935,-0.560897116296131,-2.481255563322245
-0.99325,-0.5622458627911561,-2.481255563322245
-0.993,-0.5635946092861812,-2.481255563322245
-0.99275,-0.56460616915745,-2.480918590165212
-0.9925,-0.5656177290287188,-2.480918590165212
-0.99225,-0.5666292888999875,-2.480918590165212
-0.992,-0.5679780353950126,-2.480581617008179
-0.99175,-0.5693267818900376,-2.480581617008179
-0.9915,-0.5703383417613064,-2.480581617008179
-0.99125,-0.5720242748800877,-2.480918590165212
-0.991,-0.573710207998869,-2.480918590165212
-0.99075,-0.5753961411176503,-2.481255563322245
-0.9905,-0.576407700988919,-2.480918590165212
-0.99025,-0.5774192608601878,-2.480918590165212
-0.99,-0.5787680073552129,-2.480918590165212
-0.98975,-0.580116753850238,-2.480918590165212
-0.9895,-0.581465500345263,-2.481255563322245
-0.98925,-0.5831514334640443,-2.481255563322245
-0.989,-0.5845001799590693,-2.481255563322245
-0.98875,-0.5851745532065818,-2.481255563322245
-0.9885,-0.5865232997016069,-2.480918590165212
-0.98825,-0.5878720461966319,-2.480918590165212
-0.988,-0.5892207926916569,-2.480918590165212
-0.98775,-0.590569539186682,-2.480918590165212
-0.9875,-0.591918285681707,-2.480918590165212
-0.98725,-0.5929298455529758,-2.480918590165212
-0.987,-0.5939414054242447,-2.480918590165212
-0.98675,-0.5952901519192697,-2.480918590165212
-0.9865,-0.5966388984142947,-2.480581617008179
-0.98625,-0.5979876449093198,-2.480918590165212
-0.986,-0.5989992047805885,-2.480918590165212
-0.98575,-0.6003479512756136,-2.480918590165212
-0.9855,-0.6020338843943949,-2.480581617008179
-0.98525,-0.6033826308894199,-2.480918590165212
-0.985,-0.6047313773844449,-2.480918590165212
-0.98475,-0.60608012387947,-2.481255563322245
-0.9845,-0.607428870374495,-2.480918590165212
-0.98425,-0.6084404302457639,-2.480918590165212
-0.984,-0.6097891767407889,-2.480918590165212
-0.98375,-0.6097891767407889,-2.480244643851146
-0.9835,-0.6114751098595702,-2.480581617008179
-0.98325,-0.6128238563545952,-2.480581617008179
-0.983,-0.613835416225864,-2.480244643851146
-0.98275,-0.613835416225864,-2.479570697537079
-0.9825,-0.615184162720889,-2.479570697537079
-0.98225,-0.6175444690871829,-2.480244643851146
-0.982,-0.6195675888297204,-2.480581617008179
-0.98175,-0.6209163353247454,-2.480918590165212
-0.9815,-0.6222650818197705,-2.480918590165212
-0.98125,-0.6239510149385519,-2.480918590165212
-0.981,-0.6252997614335769,-2.480918590165212
-0.98075,-0.6259741346810894,-2.480918590165212
-0.9805,-0.6269856945523582,-2.480918590165212
-0.98025,-0.6276600677998707,-2.480581617008179
-0.98,-0.6290088142948957,-2.480581617008179
-0.97975,-0.6296831875424083,-2.480581617008179
-0.9795,-0.6310319340374333,-2.480244643851146
-0.97925,-0.6320434939087021,-2.480244643851146
-0.979,-0.6333922404037271,-2.480244643851146
-0.97875,-0.6347409868987521,-2.480244643851146
-0.9785,-0.6360897333937772,-2.480244643851146
-0.97825,-0.6374384798888022,-2.480244643851146
-0.978,-0.6384500397600711,-2.479907670694112
-0.97775,-0.6391244130075836,-2.480244643851146
-0.9775,-0.6408103461263649,-2.480244643851146
-0.97725,-0.6418219059976337,-2.480244643851146
-0.977,-0.6428334658689024,-2.480244643851146
-0.97675,-0.6445193989876837,-2.480244643851146
-0.9765,-0.6455309588589525,-2.480244643851146
-0.97625,-0.6468797053539775,-2.480244643851146
-0.976,-0.6478912652252463,-2.480244643851146
-0.97575,-0.6492400117202713,-2.480244643851146
-0.9755,-0.6509259448390526,-2.480244643851146
-0.97525,-0.6519375047103214,-2.480244643851146
-0.975,-0.6522746913340777,-2.479907670694112
-0.97475,-0.6532862512053466,-2.479570697537079
-0.9745,-0.6553093709478841,-2.480244643851146
-0.9742499999999999,-0.6566581174429091,-2.480244643851146
-0.974,-0.6569953040666654,-2.479570697537079
-0.97375,-0.6569953040666654,-2.478896751223012
-0.9735,-0.6580068639379342,-2.478896751223012
-0.9732499999999999,-0.660367170304228,-2.479570697537079
-0.973,-0.6623902900467655,-2.480244643851146
-0.97275,-0.6637390365417906,-2.480244643851146
-0.9725,-0.6647505964130593,-2.480244643851146
-0.9722499999999999,-0.6660993429080844,-2.480244643851146
-0.972,-0.6674480894031094,-2.480581617008179
-0.97175,-0.6687968358981345,-2.480244643851146
-0.9715,-0.6694712091456471,-2.480244643851146
-0.9712499999999999,-0.6708199556406721,-2.480244643851146
-0.971,-0.6721687021356971,-2.480244643851146
-0.97075,-0.6731802620069659,-2.480244643851146
-0.9705,-0.6741918218782347,-2.480244643851146
-0.9702499999999999,-0.6755405683732597,-2.480244643851146
-0.97,-0.6768893148682847,-2.480244643851146
-0.96975,-0.6779008747395535,-2.480244643851146
-0.9695,-0.6792496212345785,-2.480581617008179
-0.9692499999999999,-0.6802611811058473,-2.480244643851146
-0.969,-0.6809355543533598,-2.480244643851146
-0.96875,-0.6822843008483849,-2.479907670694112
-0.9685,-0.68363304734341,-2.480244643851146
-0.9682500000000001,-0.6843074205909225,-2.479907670694112
-0.968,-0.684981793838435,-2.479570697537079
-0.96775,-0.6859933537097038,-2.479570697537079
-0.9675,-0.6870049135809726,-2.479233724380046
-0.9672500000000001,-0.6873421002047289,-2.478559778065979
-0.967,-0.6883536600759976,-2.477885831751912
-0.96675,-0.6890280333235101,-2.477548858594879
-0.9665,-0.6893652199472664,-2.476874912280812
-0.9662500000000001,-0.6897024065710227,-2.476200965966746
-0.966,-0.6903767798185352,-2.475863992809713
-0.96575,-0.6907139664422914,-2.474853073338612
-0.9655,-0.6910511530660477,-2.474179127024546
-0.9652500000000001,-0.6917255263135602,-2.473505180710479
-0.965,-0.6917255263135602,-2.472831234396413
-0.96475,-0.6920627129373165,-2.471820314925313
-0.9645,-0.6923998995610727,-2.471146368611246
-0.9642500000000001,-0.6923998995610727,-2.470472422297179
-0.964,-0.6930742728085852,-2.469461502826079
-0.96375,-0.6934114594323415,-2.46845058335498
-0.9635,-0.6930742728085852,-2.467776637040913
-0.9632500000000001,-0.6937486460560978,-2.467102690726847
-0.963,-0.694085832679854,-2.466091771255746
-0.96275,-0.6934114594323415,-2.465080851784646
-0.9625,-0.694085832679854,-2.46440690547058
-0.96225,-0.694085832679854,-2.46339598599948
-0.962,-0.694085832679854,-2.462722039685413
-0.96175,-0.6947602059273665,-2.461711120214313
-0.9615,-0.6947602059273665,-2.461037173900247
-0.96125,-0.6947602059273665,-2.460026254429147
-0.961,-0.6954345791748791,-2.459015334958047
-0.96075,-0.6950973925511228,-2.458004415486947
-0.9605,-0.6954345791748791,-2.456993496015847
-0.96025,-0.6950973925511228,-2.455982576544747
-0.96,-0.6954345791748791,-2.454971657073647
-0.95975,-0.6957717657986353,-2.453960737602547
-0.9595,-0.6957717657986353,-2.453286791288481
-0.95925,-0.6957717657986353,-2.451938898660347
