Time (s),Channel 1 (V)
-5,-0.07081123505258612
-4.99875,-0.06913456371950095
-4.9975,-0.0701405665193522
-4.99625,-0.07047590078596908
-4.995,-0.07047590078596908
-4.99375,-0.07148190358581973
-4.9925,-0.07282324065228832
-4.99125,-0.07416457771875644
-4.99,-0.07382924345213941
-4.98875,-0.06980523225273517
-4.9875,-0.07014056651935205
-4.98625,-0.07114656931920316
-4.985,-0.07114656931920316
-4.98375,-0.07282324065228893
-4.9825,-0.07416457771875644
-4.98125,-0.07449991198537348
-4.98,-0.07282324065228908
-4.97875,-0.06946989798611798
-4.9775,-0.07081123505258612
-4.97625,-0.07114656931920316
-4.975,-0.07148190358582049
-4.97375,-0.07215257211905425
-4.9725,-0.07114656931920316
-4.97125,-0.07047590078596938
-4.97,-0.06846389518626689
-4.96875,-0.06611655531994766
-4.9675,-0.06913456371950095
-4.96625,-0.07081123505258627
-4.965,-0.07114656931920316
-4.96375,-0.07114656931920316
-4.9625,-0.07047590078596938
-4.96125,-0.07114656931920316
-4.96,-0.07014056651935205
-4.95875,-0.06846389518626689
-4.9575,-0.07114656931920285
-4.95625,-0.07047590078596908
-4.955,-0.06946989798611798
-4.95375,-0.06913456371950111
-4.9525,-0.06879922945288452
-4.95125,-0.07014056651935205
-4.95,-0.07181723785243721
-4.94875,-0.07081123505258657
-4.9475,-0.07215257211905425
-4.94625,-0.07215257211905425
-4.945,-0.07181723785243721
-4.94375,-0.07315857491890565
-4.9425,-0.07382924345213941
-4.94125,-0.07517058051860753
-4.94,-0.07382924345214002
-4.93875,-0.07014056651935205
-4.9375,-0.07014056651935205
-4.93625,-0.06946989798611798
-4.935,-0.07114656931920316
-4.93375,-0.07114656931920316
-4.9325,-0.07248790638567128
-4.93125,-0.07483524625198944
-4.93,-0.07282324065228832
-4.92875,-0.06913456371950095
-4.9275,-0.07114656931920316
-4.92625,-0.07181723785243767
-4.925,-0.07282324065228832
-4.92375,-0.07349390918552237
-4.9225,-0.0714819035858211
-4.92125,-0.07047590078596846
-4.92,-0.06913456371950095
-4.91875,-0.06678722385318173
-4.9175,-0.06946989798611676
-4.91625,-0.07047590078596908
-4.915,-0.07081123505258612
-4.91375,-0.07081123505258612
-4.9125,-0.07047590078596908
-4.91125,-0.07047590078596908
-4.91,-0.07081123505258612
-4.90875,-0.06946989798611859
-4.9075,-0.07181723785243721
-4.90625,-0.07047590078596908
-4.905,-0.06946989798611798
-4.90375,-0.06879922945288391
-4.9025,-0.06879922945288391
-4.90125,-0.07081123505258612
-4.9,-0.0728232406522874
-4.89875,-0.07215257211905425
-4.8975,-0.06980523225273502
-4.89625,-0.07114656931920316
-4.895,-0.07081123505258642
-4.89375,-0.07148190358582018
-4.8925,-0.07349390918552237
-4.89125,-0.07349390918552237
-4.89,-0.07315857491890412
-4.88875,-0.07047590078596908
-4.8875,-0.06779322665303282
-4.88625,-0.06846389518626658
-4.885,-0.06980523225273502
-4.88375,-0.07181723785243721
-4.8825,-0.07282324065228832
-4.88125,-0.07349390918552207
-4.88,-0.07282324065228832
-4.87875,-0.07148190358582018
-4.8775,-0.0694698979861189
-4.87625,-0.07014056651935205
-4.875,-0.07148190358582018
-4.87375,-0.07114656931920316
-4.8725,-0.07014056651935144
-4.87125,-0.06879922945288391
-4.87,-0.06846389518626689
-4.86875,-0.06779322665303313
-4.8675,-0.06712255811979875
-4.86625,-0.06913456371950095
-4.865,-0.06980523225273502
-4.86375,-0.06913456371950065
-4.8625,-0.06846389518626689
-4.86125,-0.06846389518626689
-4.86,-0.06946989798611752
-4.85875,-0.06745789238641503
-4.8575,-0.06578122105333063
-4.85625,-0.0664518895865647
-4.855,-0.06511055252009718
-4.85375,-0.06511055252009657
-4.8525,-0.06511055252009657
-4.85125,-0.0664518895865647
-4.85,-0.06812856091965246
-4.84875,-0.07382924345213941
-4.8475,-0.07416457771875644
-4.84625,-0.07449991198537333
-4.845,-0.07382924345213941
-4.84375,-0.07248790638567128
-4.8425,-0.07181723785243721
-4.84125,-0.07215257211905395
-4.84,-0.07148190358582018
-4.83875,-0.06745789238641579
-4.8375,-0.06645188958656516
-4.83625,-0.0644398839868625
-4.835,-0.06477521825347954
-4.83375,-0.0664518895865647
-4.8325,-0.06712255811979967
-4.83125,-0.06913456371950095
-4.83,-0.06812856091964986
-4.82875,-0.06477521825348106
-4.8275,-0.06578122105333033
-4.82625,-0.06511055252009657
-4.825,-0.06578122105333063
-4.82375,-0.06511055252009687
-4.8225,-0.0644398839868625
-4.82125,-0.0634338811870114
-4.82,-0.06108654132069218
-4.81875,-0.05739786438790589
-4.8175,-0.05974520425422405
-4.81625,-0.06108654132069218
-4.815,-0.06209254412054281
-4.81375,-0.06276321265377734
-4.8125,-0.06209254412054327
-4.81125,-0.06209254412054327
-4.81,-0.06142187558730799
-4.80875,-0.05873920145437295
-4.8075,-0.06142187558730921
-4.80625,-0.06108654132069233
-4.805,-0.06075120705407514
-4.80375,-0.05974520425422405
-4.8025,-0.05907453572098998
-4.80125,-0.06008053852084199
-4.8,-0.06209254412054327
-4.79875,-0.06041587278745811
-4.7975,-0.06276321265377627
-4.79625,-0.0634338811870111
-4.795,-0.06276321265377734
-4.79375,-0.06309854692039438
-4.7925,-0.06443988398686189
-4.79125,-0.06477521825347954
-4.79,-0.06477521825347954
-4.78875,-0.06075120705407514
-4.7875,-0.06075120705407453
-4.78625,-0.05940986998760701
-4.785,-0.06008053852084107
-4.78375,-0.06175720985392548
-4.7825,-0.0634338811870114
-4.78125,-0.0644398839868625
-4.78,-0.06376921545362843
-4.77875,-0.05940986998760808
-4.7775,-0.06175720985392624
-4.77625,-0.06142187558730921
-4.775,-0.06242787838715984
-4.77375,-0.06309854692039438
-4.7725,-0.0634338811870114
-4.77125,-0.06209254412054327
-4.77,-0.06008053852083924
-4.76875,-0.05605652732143669
-4.7675,-0.05907453572098998
-4.76625,-0.06075120705407438
-4.765,-0.06276321265377825
-4.76375,-0.06477521825347954
-4.7625,-0.0634338811870114
-4.76125,-0.06376921545362828
-4.76,-0.06376921545362843
-4.75875,-0.06175720985392624
-4.7575,-0.06410454972024546
-4.75625,-0.06443988398686219
-4.755,-0.06376921545362843
-4.75375,-0.06209254412054327
-4.7525,-0.06142187558730951
-4.75125,-0.06209254412054327
-4.75,-0.06309854692039438
-4.74875,-0.06142187558730921
-4.7475,-0.06343388118701125
-4.74625,-0.06309854692039438
-4.745,-0.0634338811870114
-4.74375,-0.06376921545362828
-4.7425,-0.0644398839868625
-4.74125,-0.06578122105333063
-4.74,-0.06578122105333063
-4.73875,-0.06209254412054357
-4.7375,-0.06276321265377734
-4.73625,-0.0624278783871603
-4.735,-0.06209254412054342
-4.73375,-0.06443988398686357
-4.7325,-0.06678722385318173
-4.73125,-0.06779322665303282
-4.73,-0.06678722385318218
-4.72875,-0.0634338811870114
-4.7275,-0.06511055252009657
-4.72625,-0.06611655531994766
-4.725,-0.06712255811979906
-4.72375,-0.06779322665303282
-4.7225,-0.06745789238641579
-4.72125,-0.06645188958656516
-4.72,-0.06544588678671359
-4.71875,-0.06376921545362843
-4.7175,-0.06276321265377734
-4.71625,-0.06712255811979906
-4.715,-0.06779322665303282
-4.71375,-0.06779322665303282
-4.7125,-0.06745789238641595
-4.71125,-0.06712255811979875
-4.71,-0.06678722385318173
-4.70875,-0.06712255811979875
-4.7075,-0.06477521825348015
-4.70625,-0.06611655531994766
-4.705,-0.06477521825347954
-4.70375,-0.06309854692039514
-4.7025,-0.06209254412054373
-4.70125,-0.06309854692039438
-4.7,-0.06410454972024546
-4.69875,-0.06410454972024546
-4.6975,-0.06376921545362843
-4.69625,-0.06410454972024546
-4.695,-0.0644398839868625
-4.69375,-0.06343388118701156
-4.6925,-0.06376921545362843
-4.69125,-0.06544588678671359
-4.69,-0.06578122105333048
-4.68875,-0.06376921545362843
-4.6875,-0.06008053852084107
-4.68625,-0.06142187558730921
-4.685,-0.06209254412054403
-4.68375,-0.06376921545362843
-4.6825,-0.06578122105333063
-4.68125,-0.06745789238641503
-4.68,-0.06678722385318173
-4.67875,-0.0644398839868625
-4.6775,-0.0624278783871603
-4.67625,-0.06410454972024592
-4.675,-0.06511055252009657
-4.67375,-0.06511055252009657
-4.6725,-0.06544588678671344
-4.67125,-0.06443988398686204
-4.67,-0.0634338811870114
-4.66875,-0.06142187558730921
-4.6675,-0.05940986998760793
