Frequency (Hz),Channel 1 Magnitude (dB)
2.000000000000002,-1.263126661052248
2.270445158339105,-1.57452734974803
2.577460608512736,-1.959138259673941
2.925991479703746,-2.406259387309625
3.321651594217418,-2.913040159091576
3.770813889890148,-3.498364939273422
4.280713069649457,-4.130784488572673
4.859562131612258,-4.837847357498998
5.51668465668355,-5.622822443062514
6.262664984425388,-6.452160143842769
7.109518696094219,-7.335192080399001
8.070886150834223,-8.255013174867077
9.162252192333836,-9.22612945743206
10.40119556478309,-10.20308721396398
11.80767205549994,-11.19493523537585
13.40433592483287,-12.18424995856805
15.21690480064383,-13.19763089567448
17.2745739147644,-14.21021223310435
19.61048635357389,-15.26218131367879
22.26226689707343,-16.31292596206159
25.27262804505661,-17.39408136069702
28.69005799170189,-18.41073801044914
32.5696016298638,-19.4747982067567
36.97374716477878,-20.55789581447426
41.973432617963,-21.67229403754764
47.64918843316332,-22.74926725214458
54.09243458843157,-23.79844850961934
61.40695310703947,-24.8821881952205
69.71055968511699,-26.02675386752835
79.13700136109145,-26.97944870483655
89.83811079288245,-27.99848888274763
101.9862518420159,-29.10647072772466
115.7770958559285,-30.1008742410488
131.4327733663275,-31.08157768847611
149.2054519683293,-31.93601182901612
169.3813980096454,-32.8782803399741
192.2855875118537,-33.72184671591406
218.2869405923389,-34.66519493867732
247.8042636982654,-34.97919720002929
281.3129953647563,-35.1307918724103
319.3528641518906,-36.34517183924238
362.5365821076924,-37.03329220271804
411.5597137836078,-37.31738220557318
467.2118797637094,-37.43531004379388
530.3894751640122,-37.03453921581864
602.1101079600744,-36.82846955495658
683.5289897024923,-36.93913084396483
775.9575426272199,-35.8128416266016
880.8845228673393,-35.47218310466033
1000,-34.63385323172366
