Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1,0.006340383981303282,-0.1331654150540293,-0.5561651131393717
1.123324032978027,0.00622255595184692,-0.1334810164819822,-0.6246734096336439
1.261856883066021,0.006130069618760811,-0.1333750550240503,-0.6992321721212562
1.417474162926805,0.006022971438681505,-0.1336707041963905,-0.7867314205835854
1.592282793341094,0.006330741825194742,-0.0002507771650330666,-0.8740558416280635
1.788649529057435,0.006245473778405043,-0.1348070305971028,-0.9909113302820298
2.009233002565046,0.006189554475916352,-0.1352841485446259,-1.112972227822389
2.257019719633921,0.006069769567698035,-0.1357297845693576,-1.252037063470262
2.535364493970111,0.006155021551818679,-0.1369073544244545,-1.404337883135298
2.848035868435805,0.006032671030696824,-0.1375173644386304,-1.577623909518977
3.199267137797384,0.006046065825679132,-0.1388365679790361,-1.77008368434845
3.593813663804625,0.005840487130047825,-0.1399073135929668,-1.987623208549905
4.037017258596558,0.00592890703760697,-0.1420053676399439,-2.229671359925277
4.534878508128582,0.006153885475912703,-0.1445792984855666,-2.502887124776322
5.094138014816386,0.006119459890971194,-0.1471243459492693,-2.811095184867703
5.72236765935022,0.006306954811582297,-0.1507015320646976,-3.15465138303911
6.42807311728432,0.006027726854255043,-0.1547251903571146,-3.54123305857685
7.220809018385456,0.006000144580134086,-0.159628117721118,-3.976563984598698
8.111308307896872,0.006101438613571671,-0.1659192007744141,-4.460944710115967
9.111627561154886,0.006432220818443153,-0.1741316647718349,-5.005261875387085
10.23531021899026,0.006257411293127077,-0.1836348837623271,-5.616135054078434
11.49756995397736,0.006281483004887367,-0.1956176444983909,-6.298352996211634
12.91549665014884,0.006239921212200275,-0.2107557878784289,-7.06448202688405
14.50828778495939,0.006307051915419933,-0.2291522838654347,-7.919757888726963
16.29750834620643,0.006211991954342458,-0.2524178679770626,-8.875741134705748
18.3073828029537,0.006351740079117997,-0.281258534750191,-9.942968841346733
20.56512308348652,0.006334353511379303,-0.3169814144171871,-11.13163394551074
23.10129700083158,0.006215436112114503,-0.3610433041327942,-12.4548831536904
25.95024211399738,0.006308473752085372,-0.4165363760501908,-13.92267004847353
29.15053062825176,0.006197924547986034,-0.4845397266426681,-15.54548247391918
32.74549162877725,0.006065406026801758,-0.5679997001742179,-17.33865563409864
36.78379771828634,0.006003034453490472,-0.6708897340981914,-19.30492645439697
41.32012400115343,0.005989105269653015,-0.7967888175101339,-21.45629156922338
46.41588833612772,0.005955413815100221,-0.9492232686612933,-23.79370539698328
52.14008287999684,0.005937972347437941,-1.133702488080928,-26.31761865931608
58.57020818056673,0.006149588203795434,-1.354644594249947,-29.01844344202161
65.79332246575683,0.006004204562133559,-1.616716514634159,-31.88545890940711
73.90722033525775,0.005773517396939765,-1.925279854432148,-34.89369647188693
83.02175681319753,0.006030291018429579,-2.28458403119057,-38.01755078421124
93.26033468832199,0.005924062393236881,-2.696545331325752,-41.22574029271448
104.7615752789664,0.005634331621802442,-3.164589569238004,-44.47471204600727
117.6811952434999,0.005530752992577522,-3.688776005755918,-47.72136471639527
132.194114846603,0.005523382292914811,-4.267585788202449,-50.92697112099678
148.4968262254465,0.005706470794722373,-4.901507416675103,-54.05342412031158
166.8100537200059,0.005805866850486304,-5.58488162083206,-57.06559877686479
187.3817422860385,0.005728172908650253,-6.313018619799214,-59.93326400321143
210.490414451202,0.005520698792363424,-7.083919428276586,-62.64030362436046
236.4489412645407,0.005679194959294776,-7.890561614438084,-65.16595069100219
265.6087782946687,0.005409034562114614,-8.728927184519463,-67.51207044546759
298.364724028334,0.005602611782805885,-9.595030266292907,-69.67577741775897
335.1602650938844,0.005635087957264501,-10.48422811642764,-71.65810890582998
376.4935806792467,0.005423670155030019,-11.39036416175635,-73.46346051891773
422.9242874389499,0.005238989476008434,-12.31636043577186,-75.10449061048627
475.0810162102799,0.005111361415856117,-13.25427782620057,-76.5913781340028
533.6699231206308,0.004976975037516949,-14.20298744636605,-77.93064436433065
599.4842503189409,0.005263857734956984,-15.15864985266617,-79.13780278807269
673.4150657750821,0.004723692055867601,-16.12349334826436,-80.22278182649589
756.4633275546291,0.005169376414147549,-17.09367512445133,-81.19014809851576
849.7534359086438,0.004780169784928564,-18.06908301043192,-82.07993346501388
954.5484566618337,0.005244778728990334,-19.04839724699364,-82.84732853734297
1072.267222010323,0.005278679892352773,-20.03490556862996,-83.55315587634986
1204.503540258782,0.004983948312888876,-21.01990305585798,-84.18346924559106
1353.047774579808,0.005110049019646175,-22.00885093697772,-84.7391348589675
1519.911082952933,0.004031144927915186,-22.99572908948719,-85.24133327811566
1707.352647470692,0.004833972787679021,-23.98956390368973,-85.69008496357438
1917.910261672489,0.003604739754870971,-24.97658201246121,-86.10955272524563
2154.434690031882,0.004356375733949966,-25.96899524802133,-86.45964531796191
2420.128264794384,0.004070168960218949,-26.95210408604647,-86.81962073109705
2718.58824273294,0.002669233660729931,-27.95389581980973,-87.09792283011379
3053.855508833417,0.004144957183998038,-28.9379218155425,-87.31146016347137
3430.469286314919,0.004833591680783934,-29.93749835316523,-87.56349234092698
3853.528593710527,0.003936405416726996,-30.92881970237441,-87.77422843589392
4328.76128108306,0.003648829972431639,-31.91902246174497,-87.96392128931917
4862.601580065353,0.004537878028826891,-32.93554856534844,-88.19929933512715
5462.277217684343,0.005171985631346184,-33.92602620846526,-88.26248304519351
6135.907273413173,0.006012193130410632,-34.9151706768249,-88.35122202618072
6892.612104349695,0.003633891559815082,-35.88975463570327,-88.52678448420608
7742.636826811269,-0.006747445215357653,-36.86083985392555,-88.67343637412002
8697.490026177829,0.00474670054134141,-37.8874767285285,-88.9013252587134
9770.099572992256,0.009534835463361258,-38.90213065705406,-88.7554314333466
10974.98765493056,0.01135158444356085,-39.93495184751632,-88.93507340225108
12328.46739442067,0.01317773255884999,-40.93848023264354,-89.31395033660567
13848.86371393873,0.01348135021441457,-41.91736953204863,-89.52678008095634
15556.76143930471,0.008523597456281796,-42.86681668560406,-89.71210305596117
17475.28400007684,0.01742146014338754,-43.99526632088342,-89.48105269918314
19630.4065004027,0.01816889386390636,-44.92537195716557,-89.28506571650638
