Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.01417601591475277,-19.42313905058338,-83.19157160760813
1047.128548050901,0.01476485587526373,-19.81456004915935,-83.45152734623878
1096.478196143186,0.01423396049877426,-20.20152877392625,-83.74062242576434
1148.153621496884,0.01462949023419226,-20.59359818491706,-83.97244960209632
1202.264434617413,0.01509746136601194,-20.98604982808967,-84.21116950638637
1258.925411794169,0.01451539190205217,-21.37872766300578,-84.45023685100097
1318.256738556409,0.01518117035144807,-21.7746921815957,-84.66649250012154
1380.384264602885,0.01383035920839968,-22.16878888074346,-84.88250037694519
1445.43977074593,0.01482331108095833,-22.55990317085181,-85.08002582540752
1513.56124843621,0.01420057867097234,-22.9443572798222,-85.2845923835736
1584.893192461114,0.01467043241516751,-23.33690759902669,-85.46633636591335
1659.586907437563,0.0151395129939581,-23.73549150482933,-85.62922960697951
1737.800828749376,0.01446509956169181,-24.13275710876281,-85.773580859356
1819.700858609984,0.01481770049739694,-24.52166740959409,-85.96008146539438
1905.46071796325,0.01451775186720041,-24.9158089712218,-86.06600345059205
1995.262314968881,0.0147117981248321,-25.29925917077504,-86.23851134322817
2089.296130854041,0.01455541955419042,-25.70217577465726,-86.41464105769903
2187.761623949554,0.01547910545346703,-26.09873650671498,-86.50921647330614
2290.867652767774,0.01548175857468301,-26.49122043516737,-86.62201904596758
2398.832919019493,0.01432032859427934,-26.89882308279038,-86.72780124754219
2511.886431509582,0.01562553532094956,-27.29030326408155,-86.8735063526151
2630.267991895385,0.01499627760078664,-27.69363917215512,-86.96378772773338
2754.228703338169,0.01397547567862666,-28.09190724445648,-87.09991407322167
2884.031503126609,0.01457834043865241,-28.48182195004844,-87.19702092716489
3019.951720402019,0.01596279019217933,-28.88553336273839,-87.27537524102883
3162.277660168382,0.01579737182710668,-29.29092882929492,-87.42174916700574
3311.311214825914,0.01480958766661032,-29.67739626935215,-87.40320922745397
3467.368504525317,0.01636672742096186,-30.08634428160784,-87.65739745872035
3630.780547701017,0.01487188275234744,-30.47370082005074,-87.61968037917893
3801.893963205617,0.01559305322573401,-30.85439999622628,-87.79621116205595
3981.071705534973,0.01546938672704128,-31.25402021658463,-87.79611007644644
4168.693834703359,0.01554188834336126,-31.65122093656834,-87.84635848523311
4365.158322401665,0.01573894508028124,-32.054406367755,-87.97997233178626
4570.881896148752,0.01707629452026422,-32.45813112147518,-87.99747149729936
4786.300923226389,0.01642901692290408,-32.86572467068327,-88.1507993620683
5011.87233627273,0.01695498140776234,-33.27894299648348,-88.23075762212011
5248.074602497728,0.01573030709205027,-33.66802242624982,-88.20481699599503
5495.408738576254,0.01816924768503293,-34.10195814864743,-88.25609309080824
5754.399373371578,0.01634261786210815,-34.47609662926919,-88.35232156764607
6025.59586074358,0.01790945626101775,-34.87367656434878,-88.58566378719512
6309.573444801937,0.01827757610750465,-35.27466467640383,-88.31252083158346
6606.934480075965,0.01843144187463896,-35.65314511791945,-88.64679207844092
6918.30970918937,0.01102164027215651,-36.07726508036531,-88.57841689915823
7244.359600749906,0.01985222356988676,-36.47795858383478,-88.5435817597738
7585.775750291844,0.02106604490590816,-36.9249444511441,-88.54370906795367
7943.282347242821,0.0215333780230611,-37.31790078689478,-88.73867357629513
8317.637711026719,0.01854115058077246,-37.724864500511,-88.78280759610385
8709.635899560815,0.01649314360588959,-38.11481593351061,-88.69271445465003
9120.108393559105,0.01370037387464799,-38.57661600985766,-88.54891822680483
9549.925860214369,0.01627920509462617,-39.02265407065482,-88.93160993600817
10000,0.01992899386226231,-39.39444768896821,-88.99530088324777
10471.28548050901,0.02306163337592787,-39.89311871250928,-89.18286786276246
10964.78196143186,0.02435665071589571,-40.30609256781007,-89.30058105993433
11481.53621496883,0.02468185850892423,-40.79478842482727,-89.2293797734177
12022.64434617414,0.02599153290063493,-41.1700294846669,-89.15707378233215
12589.25411794168,0.01038167013577967,-41.69025764203074,-88.8033793712649
13182.56738556407,0.02760293218487413,-42.1307945104172,-89.15425286273259
13803.84264602886,0.02700048488804188,-42.59446819141493,-89.20188000743335
14454.39770745929,0.02180642373663017,-43.14547515460411,-89.41975888662711
15135.61248436209,0.02899381535962711,-43.54605327957075,-89.50307735604727
15848.93192461115,0.02932999453384017,-43.98229310880637,-89.18553031643293
16595.86907437562,0.02897181840757031,-44.53333896492914,-89.47406209718986
17378.00828749376,0.02933875553960944,-45.05842613550289,-90.24083054860006
18197.00858609984,0.02752337914373307,-45.58751340163946,-89.53375292458567
19054.60717963249,0.03284730376130248,-46.0754521787714,-88.98033105472234
19952.62314968881,0.03138011107068386,-46.84375674506682,-89.61662504401144
20892.96130854039,0.0351975494582336,-47.07686393723002,-89.93439018968826
21877.61623949554,0.03628748620614036,-47.9054067051105,-89.47409211633612
22908.67652767775,0.03670235465162133,-48.60895109263414,-90.28153604114527
23988.32919019491,0.03634409757626336,-49.01087039342961,-90.63139439087013
25118.86431509582,0.02730921117871793,-49.73272859348044,-92.40831986583589
26302.67991895384,0.03869397736007159,-50.6535756568075,-89.75991481814128
27542.28703338168,0.04004795433368202,-51.24105454735993,-91.60362113558435
28840.31503126608,0.03041759536613277,-51.95343881682238,-90.70271425251563
30199.51720402019,0.04234475488164105,-52.74893567100331,-90.46799673007266
31622.77660168381,0.04429146453532922,-54.14732189956862,-90.55501317796789
33113.11214825913,0.0472776605751651,-54.83715422413504,-93.41084424820247
34673.68504525317,0.04624163595093377,-56.20163091586753,-91.70640591872157
36307.80547701016,0.04880189131304422,-57.66059581885042,-94.27111148378022
38018.93963205612,0.04925606324194684,-59.02158667772977,-95.11818754986081
